THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
default,Hotel,Hoteles,Hotel,Hoteles,property_type,Hoteles
1star,Hotel de 1 estrella,Hoteles de 1 estrella,Hotel,Hoteles,property_type,Hoteles_1_Estr
2star,Hotel de 2 estrellas,Hoteles de 2 estrellas,Hotel,Hoteles,property_type,Hoteles_2_Estr
3star,Hotel de 3 estrellas,Hoteles de 3 estrellas,Hotel,Hoteles,property_type,Hoteles_3_Estr
4star,Hotel de 4 estrellas,Hoteles de 4 estrellas,Hotel,Hoteles,property_type,Hoteles_4_Estr
5star,Hotel de 5 estrellas,Hoteles de 5 estrellas,Hotel,Hoteles,property_type,Hoteles_5_Estr
1_star,Hotel de 1 estrella,Hoteles de 1 estrella,Hotel,Hoteles,property_type,Hoteles_1_Estr
2_star,Hotel de 2 estrellas,Hoteles de 2 estrellas,Hotel,Hoteles,property_type,Hoteles_2_Estr
3_star,Hotel de 3 estrellas,Hoteles de 3 estrellas,Hotel,Hoteles,property_type,Hoteles_3_Estr
4_star,Hotel de 4 estrellas,Hoteles de 4 estrellas,Hotel,Hoteles,property_type,Hoteles_4_Estr
5_star,Hotel de 5 estrellas,Hoteles de 5 estrellas,Hotel,Hoteles,property_type,Hoteles_5_Estr
5star|hotel|nearme,Hotel de 5 estrellas cerca de ti,Hoteles de 5 estrellas cerca de ti,Hotel,Hoteles,property_type,Hoteles5EstrCer
accessible,Hotel accesible,Hoteles accesibles,Hotel,Hoteles,property_type,HotelAccesible
accommodation|coupon,Cupón de alojamiento,Cupones de alojamiento,Alojamiento,Alojamiento,property_type,Cupones_Alojam
accommodation|deal,Oferta de alojamiento,Ofertas de alojamiento,Alojamiento,Alojamiento,property_type,OfertasAlojam
accommodation|discount,Descuento de alojamiento,Descuentos de alojamiento,Alojamiento,Alojamiento,property_type,DescAlojamiento
accommodation,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojamientos
accomodation,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojamientos
accommodation|near,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojamientos
accommodation|nearme,Alojamientos cerca de ti,Alojamientos cerca de ti,Alojamiento,Alojamiento,property_type,Alojamiento
accommodation|booking,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojamientos
adultonly,Hotel solo adultos,Hoteles solo adultos,Hotel,Hoteles,property_type,HotelSoloAdult
affordable|allinclusive|resort,Complejo turístico asequible todo incluido,Complejos turísticos asequibles todo incluido,Complejo turístico,Complejos turísticos,property_type,CompTurAseqTI
accommodation|affordable,Alojamiento asequible,Alojamiento asequible,Alojamiento,Alojamiento,property_type,Aloj_asequible
affordable,Hotel asequible,Hoteles asequibles,Hotel,Hoteles,property_type,HotelAsequible
agrotourist,Hotel de agroturismo,Hoteles de agroturismo,Hotel,Hoteles,property_type,Agroturismo
accommodation|airport,Alojamiento,Alojamientos,Alojamiento,Alojamientos,property_type,Alojam_Aerop
airport|hotel,Hotel de aeropuerto,Hoteles de aeropuerto,Hotel,Hoteles,property_type,Hotel_Aeropuert
freeairporttransportation,Hotel con transporte al aeropuerto gratuito,Hoteles con transporte al aeropuerto gratuito,Hotel,Hoteles,property_type,Aerop_Transport
albergo,Albergo,Albergos,Albergo,Albergos,property_type,Albergos
accommodation|allinclusive,Alojamiento todo incluido,Alojamiento todo incluido,Alojamiento,Alojamiento,property_type,Aloj_Todo_Incl
allinclusive,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
all_inclusive,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
all_inclusives,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
allinclusive|hotel,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
all_inclusive|hotel,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_in
hotel_all_inclusive,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_In
all_inclusive_hotel,Hotel todo incluido,Hoteles todo incluido,Hotel,Hoteles,property_type,Hoteles_Todo_In
allinclusive|resort,Complejo turístico todo incluido,Complejos turísticos todo incluido,Complejo turístico,Complejos turísticos,property_type,Complej_todo_in
all_inclusive|resort,Complejo turístico todo incluido,Complejos turísticos todo incluido,Complejo turístico,Complejos turísticos,property_type,Complej_todo_in
all_inclusive_resort,Complejo turístico todo incluido,Complejos turísticos todo incluido,Complejo turístico,Complejos turísticos,property_type,Complej_Todo_In
resort_all_inclusive,Complejo turístico todo incluido,Complejos turísticos todo incluido,Complejo turístico,Complejos turísticos,property_type,Complej_Todo_In
allinclusive|couple|resort,Complejo turístico todo incluido,Complejos turísticos todo incluido para parejas,Complejo turístico,Complejos turísticos,property_type,ComplTurTodoInc
allinclusive|familyfriendly|resort,Complejo turístico para familias todo incluido,Complejos turísticos para familias todo incluido,Complejo turístico,Complejos turísticos,property_type,ComplFamTodoInc
allinclusive|honeymoon|resort,Complejo turístico para lunas de miel todo incluido,Complejos turísticos para lunas de miel todo incluido,Complejo turístico,Complejos turísticos,property_type,LunaMielTodoInc
anniversary,Hotel para aniversarios,Hoteles para aniversarios,Hotel,Hoteles,property_type,Aniversarios
aparthotel,Apartotel,Apartoteles,Apartotel,Apartoteles,property_type,Apartoteles
aparthotels,Apartotel,Apartoteles,Apartotel,Apartoteles,property_type,Apartoteles
apartment,Apartamento,Apartamentos,Apartamento,Apartamentos,property_type,Apartamentos
archaeology,Hotel cerca de yacimientos arqueológicos,Hoteles cerca de yacimientos arqueológicos,Hotel,Hoteles,property_type,Arqueológico
backpacker,Hotel para mochileros,Hoteles para mochileros,Hotel,Hoteles,property_type,Hoteles_Mochil
bargain,Hotel ganga,Hoteles ganga,Hotel,Hoteles,property_type,Hoteles_Ganga
accommodation|bargain,Ganga en alojamiento,Gangas en alojamiento,Alojamiento,Alojamiento,property_type,Gangas_Alojam
beach,Hotel en primera línea de playa,Hoteles en primera línea de playa,Hotel,Hoteles,property_type,HotelPrLínPlaya
bedbreakfast,Bed and breakfast,Bed and breakfasts,Bed and breakfast,Bed and breakfasts,property_type,BedandBreakfast
bed_breakfast,Bed and breakfast,Bed and breakfasts,Bed and breakfast,Bed and breakfasts,property_type,BedandBreakfast
bandb,Bed and breakfast,Bed and breakfasts,Bed and breakfast,Bed and breakfasts,property_type,BedandBreakfast
best|hotel,El mejor hotel,Los mejores hoteles,Hotel,Hoteles,property_type,Mejores_Hoteles
best|deal|hotel,La mejor oferta de hotel,Las mejores ofertas de hotel,Hotel,Hoteles,property_type,MejoresOferHot
blacksandbeach,Hotel cerca de playa de arena negra,Hoteles cerca de playas de arena negra,Hotel,Hoteles,property_type,PlayaArenaNegra
boutique,Hotel boutique,Hoteles boutique,Hotel,Hoteles,property_type,Hotel_Boutique
accommodation|budget,Alojamiento económico,Alojamiento económico,Alojamiento,Alojamiento,property_type,Aloj_Económico
budget,Hotel económico,Hoteles económicos,Hotel,Hoteles,property_type,Hotel_Económico
budget|hotel,Hotel económico,Hoteles económicos,Hotel,Hoteles,property_type,Hotel_Económico
cabin,Cabaña,Cabañas,Cabaña,Cabañas,property_type,Cabañas
camping,Camping,Camping,Camping,Camping,property_type,Camping
capsule,Hotel cápsula,Hoteles cápsula,Hotel,Hoteles,property_type,Hoteles_Cápsula
caravanpark,Parque de caravanas,Parques de caravanas,Parque de caravanas,Parques de caravanas,property_type,Parques_Caravan
casino,Hotel con casino,Hoteles con casino,Hotel,Hoteles,property_type,Hoteles_Casino
central,Hotel céntrico,Hoteles céntricos,Hotel,Hoteles,property_type,Hoteles_Céntric
chain,Hotel de cadena,Hoteles de cadena,Hotel,Hoteles,property_type,Hoteles_Cadena
chalet,Chalet,Chalets,Chalet,Chalets,property_type,Chalets
accommodation|cheap,Alojamiento barato,Alojamiento barato,Alojamiento,Alojamiento,property_type,Alojam_Barato
cheap,Hotel barato,Hoteles baratos,Hotel,Hoteles,property_type,Hoteles_Baratos
hotel_cheap,Hotel barato,Hoteles baratos,Hotel,Hoteles,property_type,Hoteles_Baratos
cheap|hotel,Hotel barato,Hoteles baratos,Hotel,Hoteles,property_type,Hoteles_Baratos
cheap|hotel|near,Hotel barato,Hoteles baratos,Hotel,Hoteles,property_type,Hoteles_Baratos
cheap|resort,Complejo turístico barato,Complejos turísticos baratos,Complejo turístico,Complejos turísticos,property_type,Complejos_barat
cheapest|hotel,El hotel más barato,Los hoteles más baratos,Hotel,Hoteles,property_type,Hoteles_Más_Bar
accommodation|cheapest,El alojamiento más barato,El alojamiento más barato,Alojamiento,Alojamiento,property_type,ElAlojMásBarato
cheap|deal|hotel,Oferta de hotel barato,Ofertas de hoteles baratos,Hotel,Hoteles,property_type,OfertHotelesBar
cheap|hotel|nearme,Hotel barato cerca de ti,Hoteles baratos cerca de ti,Hotel,Hoteles,property_type,HotelBaratCerca
cheap|hotel|suites,Suite de hotel barata,Suites de hoteles baratas,Suite de hotel,Suites de hotel,property_type,SuiteHotelBarat
cheap|hotel|nearme|suites,Suite de hotel barata cerca de ti,Suites de hoteles baratas cerca de ti,Suite de hotel,Suites de hotel,property_type,SuitesBaratCerc
accommodation|cheap|lastminute,Alojamiento barato de último minuto,Alojamiento barato de último minuto,Alojamiento,Alojamiento,property_type,AlojBaratÚltiMi
cheap|hotel|lastminute,Hotel barato de último minuto,Hoteles baratos de último minuto,Hotel,Hoteles,property_type,HotelBaratÚltMi
clean,Hotel limpio,Hoteles limpios,Hotel,Hoteles,property_type,Hoteles_Limpios
clearwaterbeach,Hotel cerca de playa de agua transparente,Hoteles cerca de playas de agua transparente,Hotel,Hoteles,property_type,PlayaAguaTransp
clubhouse,Clubhouse,Clubhouses,Clubhouse,Clubhouses,property_type,Clubhouses
condo,Condominio,Condominios,Condominio,Condominios,property_type,Condominios
connectingrooms,Hotel con habitaciones comunicadas,Hoteles con habitaciones comunicadas,Hotel,Hoteles,property_type,HabComunicadas
cottage,Casa de campo,Casas de campo,Casa de campo,Casas de campo,property_type,Casas de campo
countryhouse,Casa rural,Casas rurales,Casa rural,Casas rurales,property_type,Casas_Rurales
countryside,Hotel en el campo,Hoteles en el campo,Hotel,Hoteles,property_type,Rural
crosscountryskiing,Hotel cerca de esquí de fondo,Hoteles cerca de esquí de fondo,Hotel,Hoteles,property_type,EsquíDeFondo
deal|hotel|secluded,Oferta en hoteles apartados,Ofertas en hoteles apartados,Hotel,Hoteles,property_type,Ofer_Hot_Apart
discount|hotel|suites,Descuento en suites de hotel,Descuentos en suites de hotel,Suite de hotel,Suites de hotel,property_type,DescSuitesHotel
dormitory,Residencia,Residencias,Residencia,Residencias,property_type,Residencias
earlycheckin,Hotel con entrada temprana,Hoteles con entrada temprana,Hotel,Hoteles,property_type,Entrada_Tempran
ecofriendly,Hotel ecológico,Hoteles ecológicos,Hotel,Hoteles,property_type,HotelesEcológic
eventfriendly,Hotel para eventos,Hoteles para eventos,Hotel,Hoteles,property_type,Hoteles_Eventos
extendedstay,Hotel para estancias prolongadas,Hoteles para estancias prolongadas,Hotel,Hoteles,property_type,HotelEstancProl
extended_stay,Hotel para estancias prolongadas,Hoteles para estancias prolongadas,Hotel,Hoteles,property_type,HotelEstancProl
accommodation|familyfriendly,Alojamiento para familias,Alojamiento para familias,Alojamiento,Alojamiento,property_type,Alojam_Familias
familyfriendly,Hotel para familias,Hoteles para familias,Hotel,Hoteles,property_type,Hoteles_Familia
kidfriendly,Hotel para niños,Hoteles para niños,Hotel,Hoteles,property_type,Hoteles_Familia
familyfriendly|hotel,Hotel para familias,Hoteles para familias,Hotel,Hoteles,property_type,Hoteles_Familia
farmstay,Estancia en granja,Estancias en granja,Estancia en granja,Estancias en granja,property_type,EstanciaGranja
flat,Piso,Pisos,Piso,Pisos,property_type,Pisos
glamping,Glamping,Glamping,Glamping,Glamping,property_type,Glamping
guesthouse,Casa de huéspedes,Casas de huéspedes,Casa de huéspedes,Casas de huéspedes,property_type,CasasHuéspedes
healthclub,Hotel con centro de bienestar,Hoteles con centros de bienestar,Hotel,Hoteles,property_type,HotelCentBienes
historical,Hotel histórico,Hoteles históricos,Hotel,Hoteles,property_type,HotelHistórico
homestay,Estancia familiar,Estancias familiares,Estancia familiar,Estancias familiares,property_type,Estanc_familiar
honeymoon,Hotel para lunas de miel,Hoteles para lunas de miel,Hotel,Hoteles,property_type,HotelesLunaMiel
hostel,Albergue juvenil,Albergues juveniles,Albergue juvenil,Albergues juveniles,property_type,AlbergJuveniles
adventure,Hotel para aventureros,Hoteles para aventureros,Hotel,Hoteles,property_type,Hotel_Aventuras
airporttransportation,Hotel con transporte al aeropuerto,Hoteles con transporte al aeropuerto,Hotel,Hoteles,property_type,Hotel_Trans_Aer
aquarium,Hotel cerca de acuario,Hoteles cerca de acuarios,Hotel,Hoteles,property_type,Hotel_Acuario
arcade,Hotel cerca de galería,Hoteles cerca de galerías,Hotel,Hoteles,property_type,Hotel_Galeria
architecture,Hotel de interés arquitectónico,Hoteles de interés arquitectónico ,Hotel,Hoteles,property_type,Hotel_Arquitect
birdwatching,Hotel cerca de avistamiento de aves,Hoteles cerca de avistamiento de aves,Hotel,Hoteles,property_type,Hotel_Avist_Ave
breakfast,Hotel con desayuno,Hoteles con desayuno,Hotel,Hoteles,property_type,Hotel_Desayuno
freebreakfast,Hotel con desayuno gratuito,Hoteles con desayuno gratuito,Hotel,Hoteles,property_type,Hotel_Desayuno
catering,Hotel con catering,Hoteles con catering,Hotel,Hoteles,property_type,Hotel_Catering
babysitting,Hotel con canguro,Hoteles con canguro,Hotel,Hoteles,property_type,Hotel_canguro
